Date,Close,High,Low,Open,Volume,Adj Close,mkt,mcupm,mcnr,mucdown,mdcup
2010-12-31,11.520000457763672,11.552857398986816,11.475357055664062,11.533928871154785,193508000,9.86428165435791,1,1,0.0,0.0,0
2011-01-03,11.770357131958008,11.795000076293945,11.601428985595703,11.630000114440918,445138400,10.078653335571289,1,1,0.02173234932691459,0,0
2011-01-04,11.831786155700684,11.875,11.719642639160156,11.872857093811035,309080800,10.131251335144043,1,1,0.027064729648243135,0,0
2011-01-05,11.928570747375488,11.940713882446289,11.76785659790039,11.76964282989502,255519600,10.21412467956543,1,1,0.0354661695639491,0,0
2011-01-06,11.918929100036621,11.973214149475098,11.889286041259766,11.954285621643066,300428800,10.205869674682617,1,1,0.034629221043485314,0.0008082818589971085,0
2011-01-07,12.00428581237793,12.012499809265137,11.853570938110352,11.928214073181152,311931200,10.278959274291992,1,1,0.042038657584243744,0,0
2011-01-10,12.23035717010498,12.258213996887207,12.041786193847656,12.10107135772705,448560000,10.472537994384766,1,1,0.061662906607141466,0,0
2011-01-11,12.20142936706543,12.319999694824219,12.123929023742676,12.317143440246582,444108000,10.447768211364746,1,1,0.05915181269307346,0.0023652459725591545,0
2011-01-12,12.300713539123535,12.301071166992188,12.214285850524902,12.258929252624512,302590400,10.532781600952148,1,1,0.06777023006398553,0,0
2011-01-13,12.34571361541748,12.380000114440918,12.280357360839844,12.327142715454102,296780400,10.571313858032227,1,1,0.07167648653150316,0,0
2011-01-14,12.445713996887207,12.445713996887207,12.30142879486084,12.353214263916016,308840000,10.656942367553711,1,1,0.08035707485581467,0,0
2011-01-18,12.166070938110352,12.312856674194336,11.64285659790039,11.768570899963379,1880998000,10.417494773864746,1,1,0.05608250474601961,0.022469024986979204,0
2011-01-19,12.101428985595703,12.449999809265137,12.031429290771484,12.441070556640625,1135612800,10.362140655517578,1,1,0.05047122436876195,0.027662937729214482,0
2011-01-20,11.881428718566895,12.08214282989502,11.789999961853027,12.01535701751709,764789200,10.173760414123535,1,1,0.03137397972581213,0.04533972727168933,0
2011-01-21,11.668571472167969,11.960000038146973,11.665356636047363,11.920356750488281,754401200,9.991493225097656,1,1,0.012896788932345027,0.06244258263636856,0
2011-01-24,12.051786422729492,12.051786422729492,11.668571472167969,11.673929214477539,574683200,10.319633483886719,1,1,0.046161974291193175,0.031651665324804984,0
2011-01-25,12.192856788635254,12.194286346435547,11.948928833007812,12.011786460876465,546868000,10.44042682647705,1,1,0.05840766528946828,0.02031681013360866,0
2011-01-26,12.280357360839844,12.342857360839844,12.196429252624512,12.248571395874023,506875600,10.515353202819824,1,1,0.06600320076929722,0.01328623139570141,0
2011-01-27,12.257499694824219,12.310357093811035,12.243928909301758,12.277856826782227,285026000,10.495779991149902,1,1,0.06401902845095142,0.015122820764647372,0
2011-01-28,12.003570556640625,12.300000190734863,11.911786079406738,12.291786193847656,592057200,10.278347969055176,1,1,0.041976569415069775,0.035525759338288374,0
2011-01-31,12.118571281433105,12.144286155700684,11.939286231994629,11.992856979370117,377246800,10.376819610595703,1,1,0.051959270823295656,0.02628557232923102,0
2011-02-01,12.322500228881836,12.344642639160156,12.177857398986816,12.189286231994629,426633200,10.551437377929688,1,1,0.06966143569702155,0.009900096373433299,0
2011-02-02,12.29714298248291,12.33035659790039,12.26964282989502,12.301786422729492,258955200,10.529725074768066,1,1,0.06746028592346964,0.011937524391244722,0
2011-02-03,12.265713691711426,12.294285774230957,12.091071128845215,12.278571128845215,393797600,10.502814292907715,1,1,0.06473204898574414,0.01446283477354542,0
2011-02-04,12.375,12.382143020629883,12.268214225769043,12.272856712341309,321840400,10.596391677856445,1,1,0.07421870731438363,0.0056817951067245544,0
2011-02-07,12.567143440246582,12.616070747375488,12.415714263916016,12.424642562866211,485021600,10.760921478271484,1,1,0.09089782472857544,0,0
2011-02-08,12.685713768005371,12.697142601013184,12.576786041259766,12.631428718566895,381040800,10.862448692321777,1,1,0.10119038749309173,0,0
2011-02-09,12.791428565979004,12.821429252624512,12.673929214477539,12.685357093811035,482745200,10.952967643737793,1,1,0.11036701889698963,0,0
2011-02-10,12.662142753601074,12.85714340209961,12.428570747375488,12.76392936706543,928550000,10.842265129089355,1,1,0.09914429257402313,0.01010722232556475,0
2011-02-11,12.744643211364746,12.778571128845215,12.626428604125977,12.66964340209961,367572800,10.9129056930542,1,1,0.10630579035921395,0.0036575550864343235,0
2011-02-14,12.82785701751709,12.838570594787598,12.739643096923828,12.742500305175781,310416400,10.984162330627441,1,1,0.11352921074512756,0,0
2011-02-15,12.853570938110352,12.856071472167969,12.76964282989502,12.828213691711426,284174800,11.006179809570312,1,1,0.11576132181904097,0,0
2011-02-16,12.968929290771484,13.032142639160156,12.875,12.885713577270508,481157600,11.104959487915039,1,1,0.12577506731185384,0,0
2011-02-17,12.796428680419922,12.866786003112793,12.732856750488281,12.758929252624512,530583200,10.957250595092773,1,1,0.11080105659162776,0.013301067997518625,0
2011-02-18,12.520000457763672,12.839285850524902,12.482856750488281,12.811071395874023,816057200,10.720552444458008,1,1,0.08680555210621277,0.034615720615214104,0
2011-02-22,12.09321403503418,12.335714340209961,12.061429023742676,12.219642639160156,872555600,10.355107307434082,1,1,0.04975812104974375,0.06752409825847781,0
2011-02-23,12.236429214477539,12.308570861816406,12.09321403503418,12.098929405212402,671854400,10.477741241455078,1,1,0.062189993771314844,0.056481152751382685,0
2011-02-24,12.24571418762207,12.326786041259766,12.084643363952637,12.286429405212402,499900800,10.485688209533691,1,1,0.06299598099141734,0.055765212912683874,0
2011-02-25,12.434286117553711,12.443928718566895,12.314286231994629,12.330714225769043,380018800,10.647159576416016,1,1,0.07936507148086736,0.04122492776625888,0
2011-02-28,12.614643096923828,12.680356979370117,12.539999961853027,12.544285774230957,403074000,10.801592826843262,1,1,0.09502105865129917,0.02731807583373606,0
2011-03-01,12.475357055664062,12.704285621643066,12.417142868041992,12.695357322692871,456136800,10.682326316833496,1,1,0.08293025693905665,0.038058055838012875,0
2011-03-02,12.575714111328125,12.655357360839844,12.442856788635254,12.498571395874023,602590800,10.768259048461914,1,1,0.09164180656372944,0.03031978744175635,0
